,전출지별,전입지별,2017_x,2018_x,2019_x,2020_x,2021_x,거리,전입지 면적,2017_y,2018_y,2019_y,2020_y,2021_y,2017,2018,2019,2020,2021
76,대전광역시,전라남도,1603,1569,1719,1610,1682,106.421164,12358940175,1896424,1882970,1868745,1851549,1832803,1502227,1489936,1474870,1463882,1452251
77,대전광역시,경상북도,2600,2599,2834,2680,2905,153.4843584,19034795138,2691706,2676831,2665836,2639422,2626609,1502227,1489936,1474870,1463882,1452251
78,대전광역시,경상남도,2004,2063,2046,1981,2031,150.8021005,10541895014,3380404,3373988,3362553,3340216,3314183,1502227,1489936,1474870,1463882,1452251
79,대전광역시,제주특별자치도,835,816,844,836,860,216.817988,1850278724,657083,667191,670989,674635,676759,1502227,1489936,1474870,1463882,1452251
80,울산광역시,서울특별시,6708,6849,6955,7062,6686,294.5278485,605243961.2,9857426,9765623,9729107,9668465,9509458,1165132,1155623,1148019,1136017,1121592
81,울산광역시,부산광역시,10467,9667,9534,11595,10253,39.8565568,770170750.8,3470653,3441453,3413841,3391946,3350380,1165132,1155623,1148019,1136017,1121592
82,울산광역시,대구광역시,3335,3056,2856,3242,2815,87.09033747,883698218.6,2475231,2461769,2438031,2418346,2385412,1165132,1155623,1148019,1136017,1121592
83,울산광역시,인천광역시,1033,1095,1199,1053,1015,322.5413622,1066465187,2948542,2954642,2957026,2942828,2948375,1165132,1155623,1148019,1136017,1121592
84,울산광역시,광주광역시,392,409,308,372,352,274.6563501,501113181.6,1463770,1459336,1456468,1450062,1441611,1165132,1155623,1148019,1136017,1121592
85,울산광역시,대전광역시,907,844,797,865,843,221.9300878,539503587.6,1502227,1489936,1474870,1463882,1452251,1165132,1155623,1148019,1136017,1121592
86,울산광역시,세종특별자치시,352,361,335,336,328,236.1084668,464918346.3,280100,314126,340575,355831,371895,1165132,1155623,1148019,1136017,1121592
87,울산광역시,경기도,6435,6660,6918,6907,7027,290.1576552,10196731503,12873895,13077153,13239666,13427014,13565450,1165132,1155623,1148019,1136017,1121592
88,울산광역시,강원도,947,927,950,992,987,189.5641589,16829671465,1550142,1543052,1541502,1542840,1538492,1165132,1155623,1148019,1136017,1121592
89,울산광역시,충청북도,977,1193,1036,974,1165,205.3345892,7406988695,1594432,1599252,1600007,1600837,1597427,1165132,1155623,1148019,1136017,1121592
90,울산광역시,충청남도,1648,1660,1489,1630,1673,278.2386505,8246960405,2116770,2126282,2123709,2121029,2119257,1165132,1155623,1148019,1136017,1121592
91,울산광역시,전라북도,740,697,737,719,609,257.7286677,8072147335,1854607,1836832,1818917,1804104,1786855,1165132,1155623,1148019,1136017,1121592
92,울산광역시,전라남도,1175,1091,1088,1093,951,258.670561,12358940175,1896424,1882970,1868745,1851549,1832803,1165132,1155623,1148019,1136017,1121592
93,울산광역시,경상북도,7875,8911,8023,9062,9892,75.45059106,19034795138,2691706,2676831,2665836,2639422,2626609,1165132,1155623,1148019,1136017,1121592
94,울산광역시,경상남도,8521,7671,7278,7409,7871,89.41058823,10541895014,3380404,3373988,3362553,3340216,3314183,1165132,1155623,1148019,1136017,1121592
95,울산광역시,제주특별자치도,815,793,742,748,619,342.4907071,1850278724,657083,667191,670989,674635,676759,1165132,1155623,1148019,1136017,1121592
96,세종특별자치시,서울특별시,3195,3724,4488,5107,4662,79.22598199,605243961.2,9857426,9765623,9729107,9668465,9509458,280100,314126,340575,355831,371895
97,세종특별자치시,부산광역시,443,530,577,600,573,217.3274838,770170750.8,3470653,3441453,3413841,3391946,3350380,280100,314126,340575,355831,371895
98,세종특별자치시,대구광역시,340,377,461,511,464,149.0526003,883698218.6,2475231,2461769,2438031,2418346,2385412,280100,314126,340575,355831,371895
99,세종특별자치시,인천광역시,632,771,901,901,777,94.96127006,1066465187,2948542,2954642,2957026,2942828,2948375,280100,314126,340575,355831,371895
100,세종특별자치시,광주광역시,326,314,386,507,460,100.3170844,501113181.6,1463770,1459336,1456468,1450062,1441611,280100,314126,340575,355831,371895
101,세종특별자치시,대전광역시,5871,6365,7032,8254,7376,15.24572808,539503587.6,1502227,1489936,1474870,1463882,1452251,280100,314126,340575,355831,371895
102,세종특별자치시,울산광역시,119,131,180,170,179,236.1084668,1062327677,1165132,1155623,1148019,1136017,1121592,280100,314126,340575,355831,371895
103,세종특별자치시,경기도,3755,4322,5070,5728,5276,71.78156946,10196731503,12873895,13077153,13239666,13427014,13565450,280100,314126,340575,355831,371895
104,세종특별자치시,강원도,482,449,581,616,633,135.3835864,16829671465,1550142,1543052,1541502,1542840,1538492,280100,314126,340575,355831,371895
105,세종특별자치시,충청북도,2815,2973,3388,5253,4128,42.67579926,7406988695,1594432,1599252,1600007,1600837,1597427,280100,314126,340575,355831,371895
106,세종특별자치시,충청남도,3881,4167,4330,5105,5226,42.13028288,8246960405,2116770,2126282,2123709,2121029,2119257,280100,314126,340575,355831,371895
107,세종특별자치시,전라북도,707,689,828,973,907,54.22965081,8072147335,1854607,1836832,1818917,1804104,1786855,280100,314126,340575,355831,371895
108,세종특별자치시,전라남도,369,444,489,516,532,111.2391444,12358940175,1896424,1882970,1868745,1851549,1832803,280100,314126,340575,355831,371895
109,세종특별자치시,경상북도,452,556,679,673,676,166.5901154,19034795138,2691706,2676831,2665836,2639422,2626609,280100,314126,340575,355831,371895
110,세종특별자치시,경상남도,488,464,624,649,604,165.9898183,10541895014,3380404,3373988,3362553,3340216,3314183,280100,314126,340575,355831,371895
111,세종특별자치시,제주특별자치도,263,274,279,301,317,219.8853795,1850278724,657083,667191,670989,674635,676759,280100,314126,340575,355831,371895
112,경기도,서울특별시,234448,233320,242339,266375,237206,7.914201399,605243961.2,9857426,9765623,9729107,9668465,9509458,12873895,13077153,13239666,13427014,13565450
113,경기도,부산광역시,12853,11904,11272,11883,12003,277.6196218,770170750.8,3470653,3441453,3413841,3391946,3350380,12873895,13077153,13239666,13427014,13565450
114,경기도,대구광역시,8872,8920,8250,8641,8725,205.6091958,883698218.6,2475231,2461769,2438031,2418346,2385412,12873895,13077153,13239666,13427014,13565450
115,경기도,인천광역시,61797,63361,62673,64709,70208,34.41294774,1066465187,2948542,2954642,2957026,2942828,2948375,12873895,13077153,13239666,13427014,13565450
116,경기도,광주광역시,7739,7417,7296,7318,7264,153.1284576,501113181.6,1463770,1459336,1456468,1450062,1441611,12873895,13077153,13239666,13427014,13565450
117,경기도,대전광역시,13935,13412,13072,12730,13056,85.77273546,539503587.6,1502227,1489936,1474870,1463882,1452251,12873895,13077153,13239666,13427014,13565450
118,경기도,울산광역시,3810,3960,3967,4016,4026,290.1576552,1062327677,1165132,1155623,1148019,1136017,1121592,12873895,13077153,13239666,13427014,13565450
119,경기도,세종특별자치시,7006,7139,6923,6130,6272,71.78156946,464918346.3,280100,314126,340575,355831,371895,12873895,13077153,13239666,13427014,13565450
120,경기도,강원도,28698,27502,28229,29381,30583,141.8273577,16829671465,1550142,1543052,1541502,1542840,1538492,12873895,13077153,13239666,13427014,13565450
121,경기도,충청북도,22486,23057,21705,22158,23086,85.57394012,7406988695,1594432,1599252,1600007,1600837,1597427,12873895,13077153,13239666,13427014,13565450
122,경기도,충청남도,39295,37148,33393,35944,37868,52.7406736,8246960405,2116770,2126282,2123709,2121029,2119257,12873895,13077153,13239666,13427014,13565450
123,경기도,전라북도,16612,14759,14014,14549,14754,108.9430177,8072147335,1854607,1836832,1818917,1804104,1786855,12873895,13077153,13239666,13427014,13565450
124,경기도,전라남도,14431,14325,13781,13762,13481,171.3976643,12358940175,1896424,1882970,1868745,1851549,1832803,12873895,13077153,13239666,13427014,13565450
125,경기도,경상북도,16077,15073,15618,15533,17422,215.8622587,19034795138,2691706,2676831,2665836,2639422,2626609,12873895,13077153,13239666,13427014,13565450
126,경기도,경상남도,13661,13428,13119,13348,13682,230.7411399,10541895014,3380404,3373988,3362553,3340216,3314183,12873895,13077153,13239666,13427014,13565450
127,경기도,제주특별자치도,11255,10394,8937,9661,10246,271.0805982,1850278724,657083,667191,670989,674635,676759,12873895,13077153,13239666,13427014,13565450
128,강원도,서울특별시,19761,20417,19895,20048,19259,141.9150137,605243961.2,9857426,9765623,9729107,9668465,9509458,1550142,1543052,1541502,1542840,1538492
129,강원도,부산광역시,2028,1935,1811,1814,1816,195.4064501,770170750.8,3470653,3441453,3413841,3391946,3350380,1550142,1543052,1541502,1542840,1538492
130,강원도,대구광역시,1536,1643,1435,1495,1485,129.9752293,883698218.6,2475231,2461769,2438031,2418346,2385412,1550142,1543052,1541502,1542840,1538492
131,강원도,인천광역시,4663,4832,4596,4353,4520,175.5355725,1066465187,2948542,2954642,2957026,2942828,2948375,1550142,1543052,1541502,1542840,1538492
132,강원도,광주광역시,730,711,626,685,728,230.2849529,501113181.6,1463770,1459336,1456468,1450062,1441611,1550142,1543052,1541502,1542840,1538492
133,강원도,대전광역시,2682,2529,2471,2344,2462,132.0642287,539503587.6,1502227,1489936,1474870,1463882,1452251,1550142,1543052,1541502,1542840,1538492
134,강원도,울산광역시,766,737,684,688,694,189.5641589,1062327677,1165132,1155623,1148019,1136017,1121592,1550142,1543052,1541502,1542840,1538492
135,강원도,세종특별자치시,797,870,688,770,837,135.3835864,464918346.3,280100,314126,340575,355831,371895,1550142,1543052,1541502,1542840,1538492
